visit_places,rating,city_names,visit_place_summary,distance_from_city_center,tokenized_summary
papavinasam theertham,,tirupati,papavinasam teertham sacred attraction region taking dip holy waters teertham considered absolve one sins attraction also famous scenic beauty route leads papavinasam teertham goes uneven rocky trails amidst beautiful surroundings making perfect location nature walks,3,"['papavinasam', 'teertham', 'sacred', 'attraction', 'region', 'taking', 'dip', 'holy', 'waters', 'teertham', 'considered', 'absolve', 'one', 'sins', 'attraction', 'also', 'famous', 'scenic', 'beauty', 'route', 'leads', 'papavinasam', 'teertham', 'goes', 'uneven', 'rocky', 'trails', 'amidst', 'beautiful', 'surroundings', 'making', 'perfect', 'location', 'nature', 'walks']"
chandragiri palace & fort,,tirupati,chandragiri palace fort 11th century monument built yadav naidu kings also associated vijayanagara kingdom stunning structure perfect example vijayanagara architecture tourists drawn rich history heritage value attraction fortnightly light sound shows annual celebration madras day,13,"['chandragiri', 'palace', 'fort', '11th', 'century', 'monument', 'built', 'yadav', 'naidu', 'kings', 'also', 'associated', 'vijayanagara', 'kingdom', 'stunning', 'structure', 'perfect', 'example', 'vijayanagara', 'architecture', 'tourists', 'drawn', 'rich', 'history', 'heritage', 'value', 'attraction', 'fortnightly', 'light', 'sound', 'shows', 'annual', 'celebration', 'madras', 'day']"
sri bedi ananjaneyaswami temple,,tirupati,sri bedi ananjaneyaswami temple dedicated lord hanuman legend states lord hanuman wanted go searching camel mother tied bedis went back akash ganga many believe lord hanuman seen even today standing location,10,"['sri', 'bedi', 'ananjaneyaswami', 'temple', 'dedicated', 'lord', 'hanuman', 'legend', 'states', 'lord', 'hanuman', 'wanted', 'go', 'searching', 'camel', 'mother', 'tied', 'bedis', 'went', 'back', 'akash', 'ganga', 'many', 'believe', 'lord', 'hanuman', 'seen', 'even', 'today', 'standing', 'location']"
chakra teertham waterfalls,,tirupati,chakra teertham waterfalls famous water body considered high religious importance believed lord brahma performed penance location later cleansed lord vishnu sudarshan chakra place chakra fell known chakra teertham water said healing powers absolve one sins,11,"['chakra', 'teertham', 'waterfalls', 'famous', 'water', 'body', 'considered', 'high', 'religious', 'importance', 'believed', 'lord', 'brahma', 'performed', 'penance', 'location', 'later', 'cleansed', 'lord', 'vishnu', 'sudarshan', 'chakra', 'place', 'chakra', 'fell', 'known', 'chakra', 'teertham', 'water', 'said', 'healing', 'powers', 'absolve', 'one', 'sins']"
sri venkateswara national park,,tirupati,sri venkateswara national park bioreserve occupies 350 square kilometres area eastern ghats india park well known several waterfalls high level biodiversity fantastic topographical features natural landscape hence favourite attraction nature animal lovers,6,"['sri', 'venkateswara', 'national', 'park', 'bioreserve', 'occupies', '350', 'square', 'kilometres', 'area', 'eastern', 'ghats', 'india', 'park', 'well', 'known', 'several', 'waterfalls', 'high', 'level', 'biodiversity', 'fantastic', 'topographical', 'features', 'natural', 'landscape', 'hence', 'favourite', 'attraction', 'nature', 'animal', 'lovers']"
srivari museum,,tirupati,sri vari museum famous attraction get glimpse religious history region museum impressive collection artefacts give insights ancient history architecture temple includes sculptures photographs scriptures temple pooja utensils etc,10,"['sri', 'vari', 'museum', 'famous', 'attraction', 'get', 'glimpse', 'religious', 'history', 'region', 'museum', 'impressive', 'collection', 'artefacts', 'give', 'insights', 'ancient', 'history', 'architecture', 'temple', 'includes', 'sculptures', 'photographs', 'scriptures', 'temple', 'pooja', 'utensils', 'etc']"
sri veda nayaranaswami temple,,tirupati,sri veda nayaranaswami temple dedicated supreme god lord vishnu one temples country depict incarnations lord vishnu whose prime form matsya fish also depicted place vishnu defeated demon somaka took form fish retrieve vedas thrown water demon,49,"['sri', 'veda', 'nayaranaswami', 'temple', 'dedicated', 'supreme', 'god', 'lord', 'vishnu', 'one', 'temples', 'country', 'depict', 'incarnations', 'lord', 'vishnu', 'whose', 'prime', 'form', 'matsya', 'fish', 'also', 'depicted', 'place', 'vishnu', 'defeated', 'demon', 'somaka', 'took', 'form', 'fish', 'retrieve', 'vedas', 'thrown', 'water', 'demon']"
srivari padalu,,tirupati,situated top narayangiri hill amidst beautiful scenery srivari padalu believed place lord narayan first set foot earth important pilgrimage visitors flock large numbers offer prayers footprints lord narayan,11,"['situated', 'top', 'narayangiri', 'hill', 'amidst', 'beautiful', 'scenery', 'srivari', 'padalu', 'believed', 'place', 'lord', 'narayan', 'first', 'set', 'foot', 'earth', 'important', 'pilgrimage', 'visitors', 'flock', 'large', 'numbers', 'offer', 'prayers', 'footprints', 'lord', 'narayan']"
"regional science centre, tirupati",,tirupati,regional science centre famous planetarium built latest digital technology marvellous sky observation deck galleries parks equipment highest quality centre also holds several demonstrations exhibitions shows schools institutes mobile science exhibition,3,"['regional', 'science', 'centre', 'famous', 'planetarium', 'built', 'latest', 'digital', 'technology', 'marvellous', 'sky', 'observation', 'deck', 'galleries', 'parks', 'equipment', 'highest', 'quality', 'centre', 'also', 'holds', 'several', 'demonstrations', 'exhibitions', 'shows', 'schools', 'institutes', 'mobile', 'science', 'exhibition']"
kanipakam,,tirupati,kanipakam village district famous kanipakam vinayak temple built 11th century king mahavarman sundara pandian shiva temple built king kullotunga chola rich religious significance temples stunning ancient architecture attracts visitors large numbers year,29,"['kanipakam', 'village', 'district', 'famous', 'kanipakam', 'vinayak', 'temple', 'built', '11th', 'century', 'king', 'mahavarman', 'sundara', 'pandian', 'shiva', 'temple', 'built', 'king', 'kullotunga', 'chola', 'rich', 'religious', 'significance', 'temples', 'stunning', 'ancient', 'architecture', 'attracts', 'visitors', 'large', 'numbers', 'year']"
vaikuntha teertham,,tirupati,considered sacred waterfall vaikuntha teertham associated legend ramayana believed lord ramas vanarsena located teertham dip holy waters considered bring luck good fortune absolve one sins,112,"['considered', 'sacred', 'waterfall', 'vaikuntha', 'teertham', 'associated', 'legend', 'ramayana', 'believed', 'lord', 'ramas', 'vanarsena', 'located', 'teertham', 'dip', 'holy', 'waters', 'considered', 'bring', 'luck', 'good', 'fortune', 'absolve', 'one', 'sins']"
sri kalyana venkateswaraswami temple,,tirupati,sri kalyana venkateswaraswami temple ancient vaishnavite temple also considered archaeologically important monument india presiding deity lord venkateswara considered highly powerful absolve one sins doshas get rid obstacles face lives,1,"['sri', 'kalyana', 'venkateswaraswami', 'temple', 'ancient', 'vaishnavite', 'temple', 'also', 'considered', 'archaeologically', 'important', 'monument', 'india', 'presiding', 'deity', 'lord', 'venkateswara', 'considered', 'highly', 'powerful', 'absolve', 'one', 'sins', 'doshas', 'get', 'rid', 'obstacles', 'face', 'lives']"
nagalapuram,,tirupati,hidden like jewel behind lush green forests andhra pradesh lies serene tranquil place named nagalapuram also known nagala hills famous various adventurous activities nagalpuram also known housing nagalpuram falls group 3 waterfalls offers great trekking opportunity stunning panoramic view,49,"['hidden', 'like', 'jewel', 'behind', 'lush', 'green', 'forests', 'andhra', 'pradesh', 'lies', 'serene', 'tranquil', 'place', 'named', 'nagalapuram', 'also', 'known', 'nagala', 'hills', 'famous', 'various', 'adventurous', 'activities', 'nagalpuram', 'also', 'known', 'housing', 'nagalpuram', 'falls', 'group', '3', 'waterfalls', 'offers', 'great', 'trekking', 'opportunity', 'stunning', 'panoramic', 'view']"
sri prasanna venkateswaraswami temple,,tirupati,sri prasanna venkateswaraswami temple ancient shrine dedicated lord venkateswara dravidian temple architecture magnificent idol presiding deity divine vibe attract visitors daily believed offering prayers deity relieves one doshas sins removes obstacles one faces achieving goals,12,"['sri', 'prasanna', 'venkateswaraswami', 'temple', 'ancient', 'shrine', 'dedicated', 'lord', 'venkateswara', 'dravidian', 'temple', 'architecture', 'magnificent', 'idol', 'presiding', 'deity', 'divine', 'vibe', 'attract', 'visitors', 'daily', 'believed', 'offering', 'prayers', 'deity', 'relieves', 'one', 'doshas', 'sins', 'removes', 'obstacles', 'one', 'faces', 'achieving', 'goals']"
kapila theertham,,tirupati,distance 4 kms city centre kapila theertham popular waterfalls situated inside premises kapileswara swamy temple base sheshadari hills water cascading 100 metres form pool base gorgeously enchanting sight see,3,"['distance', '4', 'kms', 'city', 'centre', 'kapila', 'theertham', 'popular', 'waterfalls', 'situated', 'inside', 'premises', 'kapileswara', 'swamy', 'temple', 'base', 'sheshadari', 'hills', 'water', 'cascading', '100', 'metres', 'form', 'pool', 'base', 'gorgeously', 'enchanting', 'sight', 'see']"
highway grand world,,tirupati,situated chennai thiruttani renigunta hwy veerakaverirajupuram near tirupati highway grand world grand water park tirupati water park also hosts private parties weddings work gatherings school group trips,41,"['situated', 'chennai', 'thiruttani', 'renigunta', 'hwy', 'veerakaverirajupuram', 'near', 'tirupati', 'highway', 'grand', 'world', 'grand', 'water', 'park', 'tirupati', 'water', 'park', 'also', 'hosts', 'private', 'parties', 'weddings', 'work', 'gatherings', 'school', 'group', 'trips']"
teppotsavam,,tirupati,tirumala tirupati teppotsavam otherwise called float festival one popular boat festival held krishna temple tirupati falling every year month chaitra march according hindu calendar celebrations held grand scale five days amidst chants hailing lord govinda teppotsavam spectacular display culture religion tradition devotion devotees,,"['tirumala', 'tirupati', 'teppotsavam', 'otherwise', 'called', 'float', 'festival', 'one', 'popular', 'boat', 'festival', 'held', 'krishna', 'temple', 'tirupati', 'falling', 'every', 'year', 'month', 'chaitra', 'march', 'according', 'hindu', 'calendar', 'celebrations', 'held', 'grand', 'scale', 'five', 'days', 'amidst', 'chants', 'hailing', 'lord', 'govinda', 'teppotsavam', 'spectacular', 'display', 'culture', 'religion', 'tradition', 'devotion', 'devotees']"
brahmotsavam festival in tirupati,,tirupati,tirumala venkateswara temple along richest temple also visited place worship world built 8th century temple witnesses 50000100000 pilgrimage visits daily brahmostav festival september temple visited million devotees span week festival takes place span nine days also termed brahmas utsavam lord brahmas festival 2024 held 3rd october 11th october,,"['tirumala', 'venkateswara', 'temple', 'along', 'richest', 'temple', 'also', 'visited', 'place', 'worship', 'world', 'built', '8th', 'century', 'temple', 'witnesses', '50000100000', 'pilgrimage', 'visits', 'daily', 'brahmostav', 'festival', 'september', 'temple', 'visited', 'million', 'devotees', 'span', 'week', 'festival', 'takes', 'place', 'span', 'nine', 'days', 'also', 'termed', 'brahmas', 'utsavam', 'lord', 'brahmas', 'festival', '2024', 'held', '3rd', 'october', '11th', 'october']"
kodandarama swamy temple,,tirupati,sri kodandarama swamy temple kodandarama temple temple heart tirupati dedicated lord rama varaha purana suggests lord rama sita devi lakshmana stayed returning ayodhya lanka built cholas tenth century ce temple commemorates stay ugadi ram navami celebrated grander scale brahmotsav also celebrated every year subshrine dedicated anjaneya mount lord rama,1,"['sri', 'kodandarama', 'swamy', 'temple', 'kodandarama', 'temple', 'temple', 'heart', 'tirupati', 'dedicated', 'lord', 'rama', 'varaha', 'purana', 'suggests', 'lord', 'rama', 'sita', 'devi', 'lakshmana', 'stayed', 'returning', 'ayodhya', 'lanka', 'built', 'cholas', 'tenth', 'century', 'ce', 'temple', 'commemorates', 'stay', 'ugadi', 'ram', 'navami', 'celebrated', 'grander', 'scale', 'brahmotsav', 'also', 'celebrated', 'every', 'year', 'subshrine', 'dedicated', 'anjaneya', 'mount', 'lord', 'rama']"
bhavani island,4.1,vijayawada,largest island krishna river bhavani island favorite visitors home numerous activities give ideal holiday experience,9,"['largest', 'island', 'krishna', 'river', 'bhavani', 'island', 'favorite', 'visitors', 'home', 'numerous', 'activities', 'give', 'ideal', 'holiday', 'experience']"
kanaka durga temple,4.1,vijayawada,kanaka durga temple famous shrine dedicated goddess durga located vijayawada district andhra pradesh astounding architecture built dravidian fashion temple surrounded hills inrakeeladri right along banks krishna river temple finds mention many sacred texts vedic literature well revered temple among devotees followers people visit temple every year show respect devotion goddess supreme seek blessings temple detailed timings rules darshans seva opportunities booked online website temple also runs food donation programme part many charitable activities,3,"['kanaka', 'durga', 'temple', 'famous', 'shrine', 'dedicated', 'goddess', 'durga', 'located', 'vijayawada', 'district', 'andhra', 'pradesh', 'astounding', 'architecture', 'built', 'dravidian', 'fashion', 'temple', 'surrounded', 'hills', 'inrakeeladri', 'right', 'along', 'banks', 'krishna', 'river', 'temple', 'finds', 'mention', 'many', 'sacred', 'texts', 'vedic', 'literature', 'well', 'revered', 'temple', 'among', 'devotees', 'followers', 'people', 'visit', 'temple', 'every', 'year', 'show', 'respect', 'devotion', 'goddess', 'supreme', 'seek', 'blessings', 'temple', 'detailed', 'timings', 'rules', 'darshans', 'seva', 'opportunities', 'booked', 'online', 'website', 'temple', 'also', 'runs', 'food', 'donation', 'programme', 'part', 'many', 'charitable', 'activities']"
undavalli caves,4.2,vijayawada,elaborate caves form 7th century undavalli caves 4stories high hold majestic sprawling statue lord shiva carved single piece granite,7,"['elaborate', 'caves', 'form', '7th', 'century', 'undavalli', 'caves', '4stories', 'high', 'hold', 'majestic', 'sprawling', 'statue', 'lord', 'shiva', 'carved', 'single', 'piece', 'granite']"
