visit_places,rating,turist_attration,visit_place_summary,best_time
12. Barpeta,"3.4
 /5","12 out of 35  Places to visit in Assam
				
		      
		         
		        6  Tourist attractions","One of the major towns in Western Assam, located around 98 kilometres northwest of Guwahati, Barpeta is the administrative headquarter of Barpeta district which is known as the 'Land of Satras'. The town is referred in the local tongue as 'Satra Nagari' or 'the town of temples' due it bein...",Best Time:  October to March
13. Umananda Island,"4.0
 /5",13 out of 35  Places to visit in Assam,"The smallest river island in the world, Umananda Island is a place with legends aplenty, a place where man and the wilderness co-habit in peace and serenity. Umananda Island lies at the heart of the Mighty Brahmaputra River which flows through the middle of the city of Guwahati. An island with many ...",
14. Nameri National Park,"5.0
 /5",14 out of 35  Places to visit in Assam,"Nameri national park is famous for its elephants and other animals including tigers, leopards, gaurs, wild pigs, sambars, etc. and also for being a bird watchers paradise. Safaris are available and are the most popular way to create a trip full of excitement, into the national park.",Best Time:  November to April
15. Tinsukia,"3.7
 /5","15 out of 35  Places to visit in Assam
				
		      
		         
		        13  Tourist attractions","Tinsukia is quite popular with the tourists as it serves as the gateway to nearby beautiful villages and wildlife sanctuaries. An important town of Assam, it is quite popular with the tourists as well. It also serves as a base place to carry on with holidays to nearby cities. It is almost 500 k...",Best Time:  October to Apr
16. Sivasagar,"4.0
 /5","16 out of 35  Places to visit in Assam
				
		      
		         
		        9  Tourist attractions","Dating back to the Ahom dynasty, this cultural town is full of historic tourist attractions from forts with underground architecture to numerous temples. Sibsagar is a state of Assam that provides various tourist attractions related to architectural marvels, history and culture. Some of the most pop...",Best Time:  October to March
17. Diphu,"5.0
 /5","17 out of 35  Places to visit in Assam
				
		      
		         
		        5  Tourist attractions","Diphu, the headquarters for the district of Karbi-Anglong in southern Assam, is located at a distance of about 250 Km from Guwahati. It is a small picturesque town which is a weekend popular picnic spot for people from nearby regions. Other than being a pleasant and quiet getaway, Diphu ha...","Best Time:  August to December, February to May"
18. Silchar,"4.5
 /5","18 out of 35  Places to visit in Assam
				
		      
		         
		        15  Tourist attractions","Situated on the Surma (Barak) River, and known for its scenic beauty and natural splendour, Silchar is surrounded by Manipur on the east, Bangladesh on the west, Mizoram on the south and the Barail hills on the north. Located south of Guwahati at a distance of 313 Kms, this town is considered as the...",Best Time:  October to June
19. Goalpara,"3.3
 /5","19 out of 35  Places to visit in Assam
				
		      
		         
		        11  Tourist attractions","Goalpara is a town located 140 kms West from Guwahati which is about a 3-hour drive away. It is the headquarters of the district of the same name. The word 'Gwaltippika', roughly translating to Guwali Village or the Village of the Milk Men is the origin of the name 'Goalpara'. The surrounding region...",Best Time:  October to May
20. Dispur,"3.2
 /5","20 out of 35  Places to visit in Assam
				
		      
		         
		        14  Tourist attractions","Dispur is the beautiful capital of Assam packed with panoramic views, unique traditions and rich tribal culture. Declared as Assam's capital in 1973, the city houses some of the important buildings of the state like Assam Secretariat, State Emergency Operations Center and State Assemble House.",Best Time:  November to March
21. Sualkuchi,"3.2
 /5","21 out of 35  Places to visit in Assam
				
		      
		         
		        8  Tourist attractions","Sualkuchi is a small sleepy village that displays the culture and traditions of Assam in its best form. The weaving village is however, best known for its skills and craftsmanship for producing one of the best kinds of silk in the state and thus earning its self a nickname of 'Manchester of East'.",Best Time:  November to March
22. Orang National Park,"3.5
 /5",22 out of 35  Places to visit in Assam,"Located in the beautiful state of Assam, Orang National park is the oldest game reserve in the state, situated on banks of river Brahmaputra. Located at a distance of 110 Kms north of Guwahati, this national park is shared by the districts of Darrang and Sonitpur. It is officially known as Rajiv Gan...",Best Time:  November to April
23. Lilabari,"3.4
 /5","23 out of 35  Places to visit in Assam
				
		      
		         
		        2  Tourist attractions","Lilabari is a small town located in North Lakhimpur in Assam. The town, located 376 kms from Guwahati, is famous for its waterfront, as it is situated on the left bank of Brahmaputra river and beautified with the breathtaking Dirang valley and Sela pass. Lilabari also has an airport which serves Aru...",Best Time:  October to March
24. Karimganj,"5.0
 /5","24 out of 35  Places to visit in Assam
				
		      
		         
		        8  Tourist attractions","Away from the blaring noises of cities, Karimganj, located at a distance of 313 Kms from Guwahati, is a small sleepy town of Assam steeped in the beauty of nature. Karimganj is the biggest city and administrative headquarter in the district. Situated in the southernmost part of the state, the region...",Best Time:  October to February
25. Bongaigaon,"5.0
 /5","25 out of 35  Places to visit in Assam
				
		      
		         
		        13  Tourist attractions","An important city of Assam, Bongaigaon was the last capital of the Kamatapur Kingdom and home to many historical monuments of Assamese culture. Centrally located within the state at around 180 Kms northwest of Guwahati, the city depicts a vibrant Assamese township and culture. The scenic b...",Best Time:  October to May
26. Hailakandi,"3.5
 /5","26 out of 35  Places to visit in Assam
				
		      
		         
		        3  Tourist attractions","Hailakandi, located 312 kms south of Guwahati is a beautiful destination nestled in the heart of Barak Valley of Assam. The town is the administrative headquarters of the district of Hailakandi. It is a town with several legends attached to it and serves as a melting pot of various cultures and trad...",Best Time:  October to March
27. Dhemaji,"5.0
 /5","27 out of 35  Places to visit in Assam
				
		      
		         
		        6  Tourist attractions","The serene location, paddy fields, the temples and the culture makes Dhemaji an experience in itself. The town's name Dhemaji' is believed to be derived from a combination two Assamese words """"dhal"""" meaning flood and """"Dhemaji"""" meaning """"play"""".",Best Time:  October to March
28. Nalbari,"3.5
 /5","28 out of 35  Places to visit in Assam
				
		      
		         
		        15  Tourist attractions","Located at the base of the eastern Himalayas in Assam, Nalbari is a perfect getaway to explore the wilderness of nature with its vast Paddy fields and dense forests. With Indo-Bhutan border marking the north boundary of the district while Brahmaputra River lying on its south, Nalbari is a place...",Best Time:  October to February
29. Darrang,"3.4
 /5","29 out of 35  Places to visit in Assam
				
		      
		         
		        11  Tourist attractions",One can experience the best of everything in Darang from spellbinding nature to a rich past and unique culture and heritage. Tthe place finds its roots dating back to 16th century with a mention in the Mahabharata. One can witness relics of the past displayed all over the place.,Best Time:  November to March
30. Morigaon,"5.0
 /5","30 out of 35  Places to visit in Assam
				
		      
		         
		        9  Tourist attractions","The town of Morigaon, located 80 Kms east of Guwahati, is the administrative headquarters of the Morigaon district. Enriched with a strong regional history, fascinating legends and unique traditions and culture, the town and the surrounding regions are home to many religious and cultural sites.&nbsp...",Best Time:  November to February
31. Nagaon,"3.6
 /5",31 out of 35  Places to visit in Assam,"Nagaon holds the distinction of being Assam's most populous district and one of the largest district in the area. It is also famously known to be the 'Rice bowl of Assam' and is rich in paddy. This district happens to be rich in wildlife too, as a part of this area is covered by the world famous Kaz...",
32. Sadiya,"3.5
 /5",32 out of 35  Places to visit in Assam,"Situated in the Himalayan foothills, Sadiya is one of the sub-divisional headquarters of Tinsukia. It sits at the confluence of three three major rivers, Dihing (Tsangpo in Tibet), Dibang and Lohit that create the mighty Brahmaputra. It has an elevation of about 400 feet and stands on a grassy plain...",
33. Digboi,"3.5
 /5",33 out of 35  Places to visit in Assam,"Famous as the Oil City of Assam, this town houses the oldest refinery of India. Crude oil was discovered here in the late 19th century. It is a primary source for raising the economic status of Tinsukia district. However, the city is more than just oil. It is also known for its golf courses which ar...",
34. Haflong,"4.2
 /5",34 out of 35  Places to visit in Assam,"Looking for an escape to the biodiversity rich state of Assam, take a turn to the only hill station here, Haflong. This hill station features green rolling hills, narrow valleys, amazing flora and fauna and mesmerizing views with a serene environment, perfect for all the visitors to come and fall in...",Best Time:  Throughout the year
